PROVINCE,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region I - Ilocos Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILOCOS NORTE," 1,330 "," 1,544 "," 1,945 "," 1,795 "," 1,860 "," 1,975 "," 1,832 "," 1,992 "," 2,335 "," 2,000 "," 1,518 "," 1,273 "," 1,907 "," 1,632 "," 1,572 "," 1,625 "," 2,049 "," 1,726 "," 1,984 "," 2,314 "," 1,979 "," 2,391 "," 3,274 "," 2,739 "," 2,416 "," 2,389 "," 2,380 "," 2,730 "," 2,605 "," 2,425 "," 2,221 "," 1,878 ", 420 
ILOCOS SUR, 785 , 823 ," 1,028 "," 1,018 ", 990 ," 1,180 "," 1,145 "," 1,028 "," 1,271 ", 951 , 694 , 824 , 931 , 809 , 858 , 878 ," 1,156 "," 1,109 "," 1,199 "," 1,157 "," 1,142 "," 1,397 "," 1,664 "," 1,431 "," 1,337 "," 1,322 "," 1,408 "," 1,575 "," 1,560 "," 1,525 "," 1,181 ", 920 , 242 
LA UNION, 864 , 789 , 847 , 977 ," 1,022 ", 959 ," 1,001 ", 898 , 987 , 834 , 621 , 608 , 743 , 707 , 807 , 769 , 945 , 966 ," 1,043 "," 1,126 "," 1,017 "," 1,152 "," 1,470 "," 1,414 "," 1,231 ", 948 ," 1,265 "," 1,559 "," 1,255 "," 1,318 "," 1,115 ", 950 , 215 
PANGASINAN," 2,769 "," 2,581 "," 3,129 "," 3,080 "," 3,135 "," 3,378 "," 3,646 "," 3,160 "," 3,366 "," 2,898 "," 2,151 "," 2,184 "," 2,565 "," 2,455 "," 2,733 "," 2,727 "," 3,214 "," 3,234 "," 3,631 "," 3,790 "," 3,303 "," 3,963 "," 4,491 "," 3,985 "," 3,922 "," 3,663 "," 3,685 "," 4,690 "," 4,060 "," 4,003 "," 3,847 "," 3,083 ", 686 
Sub-Total Ilocos Region," 5,748 "," 5,737 "," 6,949 "," 6,870 "," 7,007 "," 7,492 "," 7,624 "," 7,078 "," 7,959 "," 6,683 "," 4,984 "," 4,889 "," 6,146 "," 5,603 "," 5,970 "," 5,999 "," 7,364 "," 7,035 "," 7,857 "," 8,387 "," 7,441 "," 8,903 "," 10,899 "," 9,569 "," 8,906 "," 8,322 "," 8,738 "," 10,554 "," 9,480 "," 9,271 "," 8,364 "," 6,831 "," 1,563 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region II - Cagayan Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATANES, 2 , -   , -   , 1 , -   , 2 , 3 , 2 , 1 , 4 , -   , 3 , -   , 4 , -   , 3 , 7 , -   , 9 , 5 , 8 , 10 , 5 , 9 , 4 , 9 , 13 , 12 , 6 , 9 , 5 , 4 ,
CAGAYAN, 243 , 246 , 245 , 264 , 262 , 275 , 307 , 285 , 403 , 301 , 206 , 234 , 276 , 247 , 344 , 334 , 367 , 356 , 527 , 452 , 476 , 603 , 633 , 727 , 723 , 627 , 616 ," 1,156 ", 981 , 954 , 806 , 706 , 151 
ISABELA, 279 , 298 , 342 , 343 , 343 , 406 , 517 , 393 , 502 , 479 , 340 , 407 , 353 , 421 , 467 , 429 , 599 , 549 , 712 , 731 , 616 , 851 ," 1,011 ", 916 , 913 , 835 , 848 ," 1,403 "," 1,215 "," 1,365 "," 1,009 ", 977 , 221 
NUEVA VIZCAYA, 174 , 153 , 164 , 195 , 234 , 267 , 297 , 298 , 287 , 237 , 187 , 172 , 146 , 179 , 184 , 227 , 271 , 223 , 348 , 295 , 259 , 395 , 392 , 416 , 428 , 343 , 476 , 651 , 534 , 567 , 443 , 335 , 74 
QUIRINO, 3 , 8 , 15 , 8 , 33 , 12 , 22 , 27 , 37 , 26 , 20 , 32 , 21 , 40 , 36 , 14 , 19 , 40 , 44 , 45 , 57 , 47 , 59 , 47 , 43 , 62 , 90 , 141 , 152 , 117 , 98 , 88 , 18 
Sub-Total Cagayan Valley, 701 , 705 , 766 , 811 , 872 , 962 ," 1,146 "," 1,005 "," 1,230 "," 1,047 ", 753 , 848 , 796 , 891 ," 1,031 "," 1,007 "," 1,263 "," 1,168 "," 1,640 "," 1,528 "," 1,416 "," 1,906 "," 2,100 "," 2,115 "," 2,111 "," 1,876 "," 2,043 "," 3,363 "," 2,888 "," 3,012 "," 2,361 "," 2,110 ", 464 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region III - Central Luzon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURORA, 6 , 21 , 27 , 8 , 23 , 26 , 22 , 16 , 14 , 13 , 7 , 8 , 21 , 15 , 14 , 29 , 13 , 13 , 21 , 34 , 23 , 37 , 35 , 39 , 47 , 35 , 41 , 71 , 79 , 45 , 43 , 68 , 13 
BATAAN, 648 , 639 , 831 , 689 , 808 , 654 , 751 , 558 , 642 , 561 , 389 , 417 , 464 , 415 , 578 , 553 , 586 , 545 , 677 , 713 , 599 , 701 , 849 , 747 , 817 , 656 , 735 , 862 , 810 , 728 , 690 , 638 , 125 
